Port,Terminal,Group1,Group2,UBO
Бердянський морський порт,ДП «Бердянський МТП»,SOE,SOE,
Бердянський морський порт,ПрАТ «БЗПТО»,,,
Бердянський морський порт,ТОВ «Аскет Шиппінг»,Asket Shipping,Asket Shipping,
Бердянський морський порт,"ТОВ ""Амбар Експорт БКВ""",,,
Бердянський морський порт,ТОВ «Агро-КЛАСС»,,,
Бердянський морський порт,ЄВРО ГАЗ ГРУП,,,
Білгород-Дністровський морський порт,"ПП ""СВ""",,,
Білгород-Дністровський морський порт,ДП «Білгород-Дністровський МТП»,SOE,SOE,
Ізмаїльський морський порт,ДП «Ізмаїльський МТП»,SOE,SOE,
Ізмаїльський морський порт,ТОВ «Агенція Трайтон Сервіс Україна»,,,
Ізмаїльський морський порт,ТОВ «СЕРВІСПОРТ»,,,
Ізмаїльський морський порт,"ТОВ ""ВІЛЛЕ ФОРТЕ Україна""",,,
Ізмаїльський морський порт,ТОВ «Ньюeнерджи»,,,
Ізмаїльський морський порт,ТОВ «Ізмаїльський елеватор»,,,
Ізмаїльський морський порт,"ТОВ ""Е.К.О. ГРУП""",,,
Ізмаїльський морський порт,"ПАТ ""ДУНАЙСУДНОРЕМОНТ""",Urbansky,Urbansky,
Ізмаїльський морський порт,"ТОВ ""САН ЛОГІСТИК""",,,
Ізмаїльський морський порт,"ТОВ ""НІБУЛОН""",Nibulon,Nibulon,
Ізмаїльський морський порт,"ПрАТ ""ІРП ""ДУНАЙСУДНОСЕРВІС""",Urbansky,Urbansky,
Ізмаїльський морський порт,"ТОВ ""КРАНШИП""",,,
Ізмаїльський морський порт,"ПП ""ГАЛАКТИКА""",,,
Ізмаїльський морський порт,ТОВ «Логістика Дніпра»,,,
Ізмаїльський морський порт,ТОВ «ЕКОНОВАТІКА»,,,
Ізмаїльський морський порт,"ПрАТ ""ІЦКК""",,,
Ізмаїльський морський порт,"ТОВ ""ПОТК""",,,
Ізмаїльський морський порт,"ТОВ ""Агротранс Логістика""",,,
Ізмаїльський морський порт,ТОВ «АгроТрейдСтивідорінг»,,,
Ізмаїльський морський порт,Нибулон,Nibulon,Nibulon,
Ізмаїльський морський порт,ТОВ «СП«ДУНАЙСУДНОСЕРВІС»,Urbansky,Urbansky,
Ізмаїльський морський порт,ТОВ «МАСТЕРБУД-Д»,,,
Ізмаїльський морський порт,КП «ДУНАЙСЕРВІС»,,,
Ізмаїльський морський порт,ТОВ «РІВ.А.ХОЛДІНГ»,,,
Маріупольський морський порт,ДП «Маріупольський МТП»,SOE,SOE,
Маріупольський морський порт,ТОВ «СРЗ»,Mariupol Investments,Mariupol Investments,
Маріупольський морський порт,"ТОВ ""СТТ""",,,
Миколаївський морський порт,"ТОВ "" МСП Ніка-Тера""",Group DF,Group DF,
Миколаївський морський порт,ТОВ «Стивідорна Інвестиційна компанія»,,,
Миколаївський морський порт,ТОВ «Порт Очаків»,,,
Миколаївський морський порт,"ПАТ ""ЧСЗ""",,,
Миколаївський морський порт,Іноземне підприємство «Южная Стівідорінг Компані Лімітед»,,,
Миколаївський морський порт,ТОВ «Грінтур-Екс»,Bunge / Viterra,Bunge / Viterra,
Миколаївський морський порт,"ТОВ ""ДССК""",COFCO,COFCO,
Миколаївський морський порт,Філії  ПАТ «Судноплавна компанія «Укррічфлот» «Миколаївський річковий порт»,Ukrrichflot,Ukrrichflot,
Миколаївський морський порт,ПАТ «Миколаївський СБЗ «Океан»,,,
Миколаївський морський порт,ДБМП ТОВ «Миколаївський глиноземний завод»,Deripaska,SOE,
Миколаївський морський порт,ТОВ «Стивідорна Компанія Нікмет-Термінал»,Arcelor Mittal,Arcelor Mittal,
Миколаївський морський порт,"ТОВ ""Метал Стивідорінг Компані""",,,
Миколаївський морський порт,ТОВ «Евері»,Bunge / Viterra,Bunge / Viterra,
Миколаївський морський порт,ТОВ СП «НІБУЛОН»,Nibulon,Nibulon,
Миколаївський морський порт,Миколаївська філія ДП «АМПУ» (РЕЙДИ),SOE,SOE,
Миколаївський морський порт,ТОВ «МСП Ніка-Тера»,Group DF,Group DF,
Миколаївський морський порт,Філія «ДПЗКУ»,SOE,SOE,
Миколаївський морський порт,ТОВ «ОЙЛ ТРАНСШИПМЕНТ»,,,
Миколаївський морський порт,ТОВ «Нікморсервіс-Ніколаєв»,,,
Миколаївський морський порт,ТОВ Миколаївське підприємство «Термінал-Укрхарчозбутсировина»,,,Falko
Миколаївський морський порт,"ТОВ ""ТРІОНТА ПЛЮС""",,,
Миколаївський морський порт,ПАТ «Миколаївський суднобудівний завод «Океан»,,,
Миколаївський морський порт,"ТОВ ""Сервіс-Транс""",,,
Миколаївський морський порт,"ТОВ ""НЄК""",,,
Миколаївський морський порт,ТОВ «Європейська Транспортна Стивідорна компанія»,,,
Миколаївський морський порт,"РП ТОВ ""Старк Шиппінг""",,,
Миколаївський морський порт,ТОВ «Старк Ейдженсі»,,,
Миколаївський морський порт,"ТОВ ""ЮГ-ДОКЕР""",,,
Миколаївський морський порт,"ТОВ ""Наві Шиппінг""",,,
Миколаївський морський порт,ТОВ «Дніпро-Бузький Морський Термінал»,,,
"Морський порт ""Південний""",ПАТ «ОПЗ»,SOE,SOE,
"Морський порт ""Південний""",ТОВ з ІІ «ТРАНСІНВЕСТСЕРВІС»,TIS,TIS,
"Морський порт ""Південний""",ДП «МТП «Южний»,SOE,SOE,
"Морський порт ""Південний""","ТОВ ""ТЕРМІНАЛ СТИВІДОРІНГ І К""",,,
"Морський порт ""Південний""",ТОВ «БОРІВАЖ»,Kolomoyski,SOE,
"Морський порт ""Південний""",ТОВ РИСОІЛ - ЮГ,Risoil,Risoil,
"Морський порт ""Південний""","ТОВ ""ОЛСІДЗ БЛЕК СІ"" ТРО",Allseeds,Allseeds,
"Морський порт ""Південний""",ТОВ «ДЕЛЬТА ВІЛМАР СНД»,Wilmar,Wilmar,
"Морський порт ""Південний""",ТОВ «ТІС-МІНДОБРИВА»,TIS,TIS,
"Морський порт ""Південний""",ТОВ «Мігтранс»,,,
"Морський порт ""Південний""",ДП «СІ САЙД»,,,
"Морський порт ""Південний""",МНК «ПІВДЕННИЙ»,,,
"Морський порт ""Південний""","ТОВ ""ДІЛЕКС ТРАНСПОРТ""",,,
"Морський порт ""Південний""","ТОВ ""М.В.КАРГО""",TIS,TIS,
"Морський порт ""Південний""","ТОВ ""КРАНШИП""",,,
"Морський порт ""Південний""","ТОВ ""СЕРВІС ТРАНС БАЛК""",,,
"Морський порт ""Південний""","ТОВ ""ГРЕЙН-ТРАНСШИПМЕНТ""",,,
"Морський порт ""Південний""","ТОВ ""ТІС - РУДА""",TIS,TIS,
"Морський порт ""Південний""",ДП «МТП «Південний»,SOE,SOE,
"Морський порт ""Південний""","ТОВ ""ТЕРМІНАЛ ""БОРІВАЖ""",Kolomoyski,SOE,
"Морський порт ""Південний""","ТОВ ""ДП ВОРЛД ТІС ПІВДЕННИЙ""",TIS,TIS,
"Морський порт ""Південний""",АТ «ОПЗ»,SOE,SOE,
"Морський порт ""Південний""","ТОВ ""ТІС - ВУГІЛЛЯ""",TIS,TIS,
"Морський порт ""Південний""",ТОВ «САН ФЛАУЕР-ТЕРМІНАЛ»,,,
"Морський порт ""Південний""",ТОВ «ДЕЛЬТА ВІЛМАР УКРАЇНА»,Wilmar,Wilmar,
"Морський порт ""Південний""",ТОВ «ЕКО ТРІУМФ»,,,
"Морський порт ""Південний""","ТОВ ""ТІС - ЗЕРНО""",TIS,TIS,
"Морський порт ""Південний""","ТОВ ""ТІС - 24 ПРИЧАЛ""",TIS,TIS,
"Морський порт ""Південний""","ТОВ ""ПЕРША ОДЕСЬКА ТОРГІВЕЛЬНА КОМПАНІЯ""",,,
"Морський порт ""Південний""",ПО (відсутній),,,
"Морський порт ""Південний""",ТОВ «ТІС-15 ПРИЧАЛ»,TIS,TIS,
"Морський порт ""Південний""","ТОВ ""МАРШАЛ ГРУП КОРПОРАЦІЯ""",,,
"Морський порт ""Усть-Дунайськ""",ДП «МТП Усть-Дунайськ»,SOE,SOE,
"Морський порт ""Усть-Дунайськ""","ТОВ ""Краншип""",,,
"Морський порт ""Усть-Дунайськ""",ТОВ «ЛАД»,,,
"Морський порт ""Усть-Дунайськ""",ТОВ «КОВ КОМЕРС»,,,
"Морський порт ""Усть-Дунайськ""","ТОВ ""ЗЕРНОВИЙ ТЕРМІНАЛ КІЛІЯ""",,,
"Морський порт ""Усть-Дунайськ""",ПрАТ «УДП»,SOE,SOE,
"Морський порт ""Усть-Дунайськ""",ТОВ «ПТВ»,,,
"Морський порт ""Усть-Дунайськ""","ТОВ ""Вімексім Логістік""",,,
Морський порт Чорноморськ,"Морський торговельний порт ""Чорноморськ""",SOE,SOE,
Морський порт Чорноморськ,ТОВ «Іллічівський Зерновий термінал»,Bunge / Viterra,Bunge / Viterra,
Морський порт Чорноморськ,Морська адміністрація Чорноморського рибного порту,SOE,SOE,
Морський порт Чорноморськ,ПАТ «Олір Ресорсіз»,,,
Морський порт Чорноморськ,СП ТОВ «ТрансБалкТерминал»,Kernel,Kernel,
Морський порт Чорноморськ,ПАТ «Іллічівський паливний термінал»,,,
Морський порт Чорноморськ,ТОВ «СП Рісоіл термінал»,Risoil,Risoil,
Морський порт Чорноморськ,ТОВ «Фрамшиппінг»,Fram Shipping,Fram Shipping,Roman Tereshchenko
Морський порт Чорноморськ,"ТОВ ""Транс-Сервіс""",,,Oleksandr Batkin
Морський порт Чорноморськ,"ТОВ ""Европіан Агро Інвестмент Юкрейн""",,,
Морський порт Чорноморськ,"ТОВ ""Ренді""",,,
Морський порт Чорноморськ,"ТОВ ""ЕКО-РЕСУРС-ХОЛДИНГ""",,,
Морський порт Чорноморськ,ТОВ «Чорноморська Стивідорна Компанія»,,,
Морський порт Чорноморськ,ТЕК-ТРАНС ГРУП «ФОРВАРД»,,,
Морський порт Чорноморськ,"ТОВ ""Автологістика""",,,
Морський порт Чорноморськ,ТОВ «СЗТЧ»,,,
Морський порт Чорноморськ,ПП «Контейнерний термінал Іллічівськ»,SOE,SOE,
Морський порт Чорноморськ,ВЛАДІ - ТРАНС,,,
Морський порт Чорноморськ,Транс-Сервіс,,,
Морський порт Чорноморськ,ПАТ «Чорноморський паливний термінал»,Kiperman,Kiperman,
Морський порт Чорноморськ,ЧСК,,,
Морський порт Чорноморськ,ТОВ «Хім -Ойл-Транзит-Юкрейн»,,,
Морський порт Чорноморськ,АРКОН-ТРАНС,,,
Морський порт Чорноморськ,РИСОІЛ РУДА,Risoil,Risoil,
Морський порт Чорноморськ,ЛОГОТРЕЙДГРУП,,,
Морський порт Чорноморськ,СВ,,,
Морський порт Чорноморськ,Компанія Крентон Україна,,,
Морський порт Чорноморськ,РИСОІЛ універсальний термінал,Risoil,Risoil,
Морський порт Чорноморськ,ТГТ,Kernel,Kernel,
Морський порт Чорноморськ,ІСРЗ,,,
Морський порт Чорноморськ,ПОРТ-СЕРВІС,,,
Морський порт Чорноморськ,Рісоіл ПІРС,Risoil,Risoil,
Морський порт Чорноморськ,Рісоіл ПІРС(власні причали),Risoil,Risoil,
Морський порт Чорноморськ,ТРАЙГОН-ЕКСПОРТ,,,
Морський порт Чорноморськ,"ДП МТП ""Чорноморськ""",SOE,SOE,
Морський порт Чорноморськ,"ТОВ ""Чорноморський рибний порт""",Kolomoyski,SOE,
Морський порт Чорноморськ,ТРАНС-АГРО,,,
Одеський морський порт,"ДП ""КТО""",HHLA,HHLA,
Одеський морський порт,"ТОВ ""Олімпекс Купе Інт.""",Olimpex,Olimpex,
Одеський морський порт,"ТОВ ""Новолог""",Novolog,Novolog,
Одеський морський порт,"ТОВ ""Бруклін Київ-Порт""",Brooklyn,Brooklyn,
Одеський морський порт,"ТОВ ""ОВППК""",,,
Одеський морський порт,"ПАТ з ІІ ""Синтез Ойл""",Kiperman,Kiperman,
Одеський морський порт,Морський вокзал АОМП,,,
Одеський морський порт,"ТОВ ""Бруклін Київ""",Brooklyn,Brooklyn,
Одеський морський порт,"ТОВ ""Одеський портовий холодильник""",,,Brodsky
Одеський морський порт,"ПрАТ ""Укрелеваторпром""",Brooklyn,Brooklyn,
Одеський морський порт,"ТОВ ""УНСК""",,,
Одеський морський порт,"ТОВ ""Металзюкрейн Корп Лтд""",Olimpex,Olimpex,
Одеський морський порт,"ТОВ ""Новотех-Термінал""",Novotech,Novotech,
Одеський морський порт,"ПП ""ПОРТО-САН""",,,
Одеський морський порт,ТВТ АОМП,,,
Одеський морський порт,"ПАТ ""ДПЗКУ"" ОЗТ",SOE,SOE,
Одеський морський порт,ТОВ «ПК АМ»,,,
Одеський морський порт,"ТОВ ""ЄВТ""",,,
Одеський морський порт,"ТОВ ""САНМОБІЛ""",,,
Одеський морський порт,ДПКЗУ ОЗТ,SOE,SOE,
Одеський морський порт,Рейд Одеської філії,,,
Одеський морський порт,"ДП ""Пріста Ойл Україна""",Olimpex,Olimpex,
Одеський морський порт,ТОВ «Аттолло Гранум»,,,
Одеський морський порт,МВ,,,
Ренійський морський порт,ПП «Рені-Ліс»,,,
Ренійський морський порт,ТОВ «СК Аккорд»,,,
