from,to,day_of_week,count
2585876,2585875,Friday,650
2585817,2585263,Friday,635
2585875,2585876,Friday,614
2585263,2585817,Friday,587
2585259,2585265,Friday,460
2585776,2585762,Friday,448
2585762,2585776,Friday,435
2585904,2585905,Friday,424
2585265,2585259,Friday,420
4393742,2585704,Friday,392
2585905,2585904,Friday,376
2585346,2585360,Friday,371
2585360,2585346,Friday,371
2585905,2585906,Friday,362
2585317,2585398,Friday,359
2585906,2585905,Friday,356
2585704,4393742,Friday,344
4393742,2585748,Friday,341
2585748,4393742,Friday,334
2585263,44583483,Friday,323
2585873,2585271,Friday,322
172294162,2585837,Friday,314
2585837,172294162,Friday,307
2681672,2585360,Friday,305
2585317,2585381,Friday,304
2585913,2585908,Friday,299
2585901,2585897,Friday,298
2585271,2585873,Friday,293
2585908,2585913,Friday,293
2585345,2585358,Friday,287
2585452,2585937,Friday,282
2585466,2585995,Friday,281
2585995,2585466,Friday,280
2586044,2586039,Friday,280
2585897,2585901,Friday,278
2585939,2585936,Friday,277
2585381,2585317,Friday,274
2585452,2585936,Friday,271
2586039,2586044,Friday,271
2585466,2586000,Friday,265
2585936,2585939,Friday,261
2585936,2585452,Friday,260
2585844,2585837,Friday,255
2585311,2681601,Friday,254
2586000,2585466,Friday,254
2585844,172294162,Friday,251
2585358,2585345,Friday,248
2585994,2585466,Friday,247
2585345,2585313,Friday,246
2585837,2585844,Friday,246
2681672,2585345,Friday,242
2585781,2585824,Friday,241
172294162,2585844,Friday,241
2586024,2586032,Friday,239
2586014,4393742,Friday,238
2585398,2585317,Friday,236
44583483,2585263,Friday,236
2585466,2585983,Friday,235
2585906,2585916,Friday,235
2585913,2585916,Friday,235
2585824,2585781,Friday,232
2585360,2681672,Friday,231
2585983,2585466,Friday,229
2585945,2585947,Friday,226
2585838,2585839,Friday,225
2585916,2585913,Friday,225
2585905,2585897,Friday,223
2585929,2585466,Friday,223
2585466,2585929,Friday,221
2586044,2586045,Friday,220
2585284,2585286,Friday,219
2585466,2585994,Friday,219
2585902,2585897,Friday,219
2585791,2585921,Friday,216
2585947,2585945,Friday,213
2585860,2585868,Friday,212
2585897,2585905,Friday,212
2586000,2586001,Friday,212
2585391,2585398,Friday,210
2585868,2585860,Friday,210
2585913,2585464,Friday,210
2585837,2585846,Friday,209
2585905,2585913,Friday,209
2681601,2585307,Friday,209
2681601,2585311,Friday,208
2585267,2585281,Friday,205
2585271,2585273,Friday,205
2585897,2585902,Friday,205
2585937,2585452,Friday,204
4393742,2586014,Friday,202
2585850,2585848,Friday,201
2585846,2585837,Friday,200
2585717,2585360,Friday,199
2585827,448565,Friday,197
2585770,2585771,Friday,195
2585464,2585913,Friday,194
2585398,2585391,Friday,193
2586032,2586024,Friday,193
2585381,2585398,Friday,189
2585916,2585906,Friday,188
2585791,4393742,Friday,187
2585921,2585791,Friday,184
2585344,2586044,Friday,183
2585346,2681672,Friday,183
2585466,2585963,Friday,183
2585770,2585781,Friday,182
2585848,2585850,Friday,182
3470029,2585275,Friday,182
2585307,2681601,Friday,181
2585391,2585317,Friday,181
2585286,2585284,Friday,179
2585345,2681672,Friday,179
2585285,2585278,Friday,177
2585281,2585267,Friday,176
2585291,2681601,Friday,176
2585749,2585781,Friday,176
44583483,2585281,Friday,176
2585885,2585876,Friday,175
2586045,2586044,Friday,175
2585275,3470029,Friday,174
2585425,4393742,Friday,173
2585913,2585905,Friday,173
2586011,2586021,Friday,173
4585378,2585837,Friday,173
2585791,2585802,Friday,172
2585899,2585897,Friday,172
2585360,2585717,Friday,171
2586018,2586014,Friday,170
2585937,2585476,Friday,168
2585771,2585770,Friday,167
2585820,2585821,Friday,165
2585956,2585466,Friday,165
2586044,2585344,Friday,165
2585273,2585271,Friday,164
2585313,2585299,Friday,164
2585821,2585820,Friday,164
448565,2585827,Friday,163
2585340,2585369,Friday,162
2585963,2585466,Friday,162
2586001,2586000,Friday,162
2585782,2585762,Friday,161
2586045,2586042,Friday,161
4393742,2585791,Friday,161
2585791,2585748,Friday,160
2586019,2586021,Friday,160
2586042,2586045,Friday,160
2585317,2585391,Friday,159
2585389,2585317,Friday,159
2586021,2586019,Friday,159
2585476,2585937,Friday,158
2585876,2585885,Friday,158
2681601,2585291,Friday,158
2585275,2585283,Friday,157
2585313,2585345,Friday,155
2585369,2585340,Friday,155
2585824,2585749,Friday,155
2585883,2585897,Friday,155
2585749,2585824,Friday,154
2585838,2585837,Friday,154
2586042,2586044,Friday,154
2586044,2586042,Friday,154
2585267,2585263,Friday,153
2585299,2585313,Friday,152
2585748,2585791,Friday,151
2681601,2585321,Friday,151
2585278,2585285,Friday,150
2586021,2586011,Friday,150
2585466,2585997,Friday,149
2585781,2585770,Friday,149
2585799,2585788,Friday,149
2585899,2585906,Friday,149
2585311,2585956,Friday,148
2585913,2585897,Friday,148
2586000,2585996,Friday,147
2585283,2585275,Friday,145
2585327,2585466,Friday,145
2585800,2585802,Friday,145
2585850,2585846,Friday,144
2681672,2585346,Friday,144
448565,2585838,Friday,143
2585476,2585452,Friday,143
2585897,2585856,Friday,143
2585897,2585883,Friday,143
2586018,2586019,Friday,143
2586021,2586009,Friday,143
2585321,2681601,Friday,142
