uid,lat,lon
448565,52.183992,21.00984
2585259,52.296226,20.958327
2585263,52.290974,20.929556
2585265,52.290173,20.95037
2585267,52.285914,20.940561
2585269,52.233682,20.940959
2585271,52.281627,20.949887
2585273,52.276877,20.94813
2585275,52.276157,20.961667
2585278,52.277729,20.985734
2585280,52.253001,21.168017
2585281,52.270941,20.932627
2585283,52.270644,20.950418
2585284,52.27142,20.97271
2585285,52.269408,20.983366
2585286,52.266862,20.963703
2585288,52.264398,20.972318
2585289,52.267875,21.002067
2585291,52.262405,20.980255
2585296,52.247163,21.189258
2585297,52.264502,20.9896
2585299,52.258245,20.898614
2585301,52.260895,20.923923
2585304,52.25759,20.932337
2585305,52.259323,20.960551
2585306,52.256315,20.968231
2585307,52.258622,20.970964
2585308,52.253594,20.979874
2585311,52.257602,20.994498
2585313,52.252626,20.913638
2585315,52.246595,20.942922
2585317,52.227622,20.956759
2585319,52.246037,20.962463
2585321,52.251471,20.985705
2585323,52.253213,20.991379
2585326,52.25416,20.998085
2585327,52.255877,21.009982
2585328,52.159678,21.205074
2585330,52.244114,20.977868
2585333,52.248553,20.983458
2585334,52.246098,20.985394
2585335,52.247017,20.989516
2585337,52.249052,20.994892
2585338,52.207438,21.191126
2585340,52.251549,21.002749
2585341,52.248862,21.005578
2585342,52.254112,21.009334
2585344,52.226016,21.093295
2585345,52.239503,20.913805
2585346,52.239541,20.942309
2585349,52.262273,21.177609
2585351,52.236881,20.972332
2585352,52.242888,20.980379
2585353,52.24108,20.98316
2585354,52.243545,20.987351
2585356,52.244577,20.99177
2585358,52.22868,20.91509
2585360,52.234223,20.934782
2585364,52.240162,20.987728
2585367,52.242178,20.993004
2585368,52.218454,20.966339
2585369,52.244947,21.001294
2585370,52.244229,21.001627
2585371,52.243571,21.006692
2585373,52.24697,21.101847
2585377,52.24652,21.011305
2585378,52.243597,21.01408
2585379,52.24656,21.017499
2585380,52.220591,20.917589
2585381,52.224934,20.945489
2585385,52.222881,21.223207
2585387,52.237662,20.955493
2585389,52.233341,20.965197
2585391,52.228522,20.969639
2585394,52.22898,20.97843
2585396,52.232987,20.980406
2585398,52.229707,20.983223
2585400,52.23734,20.965578
2585401,52.237314,20.988849
2585402,52.234495,20.990512
2585405,52.238666,20.995731
2585406,52.235715,20.996607
2585408,52.232628,20.997123
2585410,52.239571,21.000301
2585412,52.23373,21.002811
2585413,52.235858,21.003731
2585416,52.238433,21.006791
2585417,52.22157,20.93178
2585419,52.234868,21.008976
2585420,52.239701,21.011929
2585422,52.235911,21.013565
2585425,52.236884,21.017543
2585429,52.238298,21.018401
2585430,52.241907,21.024259
2585431,52.241306,21.028205
2585432,52.175434,21.062015
2585433,52.22983,20.993996
2585435,52.230194,20.999486
2585438,52.230978,21.003676
2585442,52.232934,21.010179
2585445,52.231056,21.016738
2585446,52.295106,20.944576
2585447,52.315244,21.000138
2585450,52.237593,21.025649
2585452,52.293889,21.027245
2585453,52.22206,20.979201
2585455,52.222216,20.986629
2585457,52.225335,20.989825
2585460,52.22626,20.996131
2585462,52.224146,20.997524
2585464,52.11625,21.087655
2585466,52.254294,21.035691
2585467,52.228102,21.004899
2585469,52.229046,21.005454
2585470,52.225934,21.006754
2585472,52.229939,21.010973
2585473,52.229286,21.011579
2585476,52.291748,21.048282
2585477,52.226288,21.013571
2585492,52.228266,21.017897
2585695,52.23324,21.026118
2585699,52.234019,21.030033
2585704,52.234788,21.034099
2585708,52.230141,21.030369
2585711,52.217218,20.971361
2585712,52.217863,20.977596
2585714,52.217915,20.982816
2585716,52.216641,20.987948
2585717,52.240163,20.931161
2585720,52.220676,21.004555
2585721,52.216651,21.004886
2585722,52.222683,21.00811
2585724,52.219916,21.011682
2585727,52.223503,21.012852
2585728,52.217486,21.014295
2585729,52.283476,21.062266
2585731,52.220229,21.017846
2585735,52.222943,21.015821
2585737,52.223815,21.020786
2585738,52.218404,21.022464
2585742,52.248819,20.92013
2585747,52.222113,21.034387
2585748,52.227712,21.044296
2585749,52.210971,20.975913
2585750,52.162519,21.216018
2585762,52.210772,20.984756
2585764,52.212671,21.003437
2585766,52.21691,21.01997
2585770,52.208386,20.96311
2585771,52.20604,20.97024
2585772,52.205197,20.985098
2585774,52.205802,20.998929
2585776,52.209916,21.006779
2585779,52.213238,21.021057
2585781,52.198639,20.965252
2585782,52.201765,20.98209
2585785,52.198137,20.983372
2585787,52.20177,20.99969
2585788,52.204264,21.014428
2585789,52.205518,21.023103
2585790,52.219459,21.162012
2585791,52.207728,21.047833
2585794,52.193813,20.991443
2585799,52.199416,21.012138
2585800,52.199505,21.024098
2585802,52.201936,21.036893
2585804,52.199845,21.05095
2585807,52.191678,20.868969
2585808,52.196047,20.884935
2585809,52.186994,20.890648
2585811,52.181474,21.068535
2585814,52.190638,20.899944
2585817,52.302867,20.929504
2585820,52.205644,20.915914
2585821,52.201216,20.935315
2585824,52.192471,20.959666
2585825,52.236522,21.113097
2585827,52.188896,21.017589
2585830,52.18648,21.02538
2585835,52.188286,21.049883
2585837,52.178777,21.001639
2585838,52.18082,21.023577
2585839,52.177916,21.049562
2585843,52.257579,21.157396
2585844,52.170182,20.99584
2585846,52.17105,21.005914
2585848,52.174435,21.012881
2585850,52.173313,21.025731
2585853,52.256711,21.15805
2585856,52.155439,21.073689
2585860,52.165588,21.083933
2585863,52.164790000000004,21.10925
2585868,52.160626,21.072325
2585871,52.206211,20.887875
2585872,52.159374,21.086449000000002
2585873,52.269484,20.942087
2585875,52.162258,21.028076
2585876,52.162401,21.038381
2585880,52.223054,21.149214
2585883,52.156867,21.03384
2585885,52.157289,21.044008
2585888,52.153378,21.018196
2585893,52.149506,21.033253
2585894,52.253523,21.224155
2585897,52.149311,21.045336
2585899,52.152233,21.056392
2585901,52.14272,21.038362
2585902,52.142735,21.044813
2585904,52.137604,21.050553
2585905,52.140391,21.056819
2585906,52.142018,21.066076
2585908,52.131433,21.056156
2585911,52.332605,20.94184
2585913,52.131093,21.06548
2585916,52.133264,21.074796
2585917,52.324196,21.056547
2585919,52.220789,20.897887
2585920,52.322698,20.944811
2585921,52.208763,21.066342
2585922,52.321127,20.971296
2585924,52.313298,20.965532
2585925,52.303198,20.989167
2585926,52.316765,20.95171
2585928,52.300027,21.042527
2585929,52.261381,21.030544
2585931,52.242502,20.912148
2585932,52.292359,21.040962
2585934,52.292431,21.056987
2585936,52.287807,21.021383
2585937,52.288592,21.031009
2585938,52.286662,21.07535
2585939,52.281231,21.025853
2585941,52.246276,21.223424
2585942,52.275799,21.056083
2585945,52.273679,21.043095
2585947,52.269795,21.051284
2585951,52.272602,21.06321
2585953,52.27347,21.07698
2585954,52.266889,21.058568
2585955,52.261437,21.015574
2585956,52.263182,21.021278
2585958,52.26421,21.02618
2585960,52.265499,21.031197
2585961,52.269041,21.037949
2585963,52.259066,21.026144
2585968,52.253851,21.02328
2585971,52.256355,21.029538
2585972,52.261449,21.037614
2585974,52.28794,20.978694
2585975,52.25839,21.03537
2585978,52.235534,21.081368
2585981,52.252425,21.030388
2585982,52.264811,21.169537
2585983,52.257958,21.03998
2585984,52.247585,20.9568
2585985,52.251577,21.035361
2585987,52.250633,21.031117
2585990,52.252088,21.038137
2585992,52.23393,21.126986
2585994,52.255882,21.049793
2585995,52.25965,21.0529
2585996,52.258351,21.058534
2585997,52.249865,21.042911
2586000,52.252745,21.051033
2586001,52.247314,21.042731
2586003,52.247231,21.047646
2586005,52.247136,21.056658
2586009,52.2464,21.06868
2586011,52.2504,21.077598
2586012,52.260429,21.041538
2586014,52.237208,21.043758
2586018,52.238733,21.050845
2586019,52.242281,21.07116
2586021,52.244564,21.083806
2586022,52.234745,21.053651
2586024,52.236598,21.064774
2586026,52.242685,21.102494
2586028,52.237559,21.120087
2586030,52.22585,21.060062
2586031,52.263298,21.046161
2586032,52.230088,21.067948
2586034,52.23483,21.09975
2586037,52.225197,21.071289
2586039,52.223495,21.10133
2586042,52.229435,21.094524
2586044,52.22974,21.10624
2586045,52.222307,21.090726
2586268,52.23938,21.016717
2681601,52.25574,20.984343
2681672,52.241493,20.929213
3110680,52.249684,21.092105
3318614,52.227229,20.942745
3318682,52.194579,20.982139
3470029,52.281039,20.958925
4215025,52.247972,21.019663
4313700,52.320309,21.008012
4393742,52.239205,21.031269
4585378,52.195747,21.002554
8746360,52.181135,20.992429
18751910,52.183037,20.991542
44581598,52.257631,20.91931
44583449,52.205017,21.168801
44583483,52.281063,20.923405
48372123,52.208711,20.946434
52488396,52.229887,20.98569
145175382,52.23828,21.147235
163208604,52.271148,21.149855
172293631,52.17034,21.041258
172294162,52.1637,20.992412
172295073,52.132479,21.018331
181013001,52.282178,20.96508
181027943,52.294556,20.803693
181083059,52.310804,21.062593
181142501,52.238747,21.034262
181147206,52.238662,21.080371
181222602,52.249342,21.107789
181225268,52.22848,21.051782
181256395,52.224862,21.140829
181266047,52.194213,20.901082
181284691,52.169124,21.11556
181286164,52.255356,21.011758
181286372,52.309836,21.061796
181362444,52.194004,20.901136
181376605,52.322853,20.937924
181396631,52.294564,21.081804
181401829,52.22884,21.051542
181404124,52.191836,20.987082
181414805,52.214227,21.151167
181415783,52.222418,21.036687
181415954,52.302987,21.087269
181421966,52.233751,21.085576
181422612,52.283413,20.942258
181422637,52.315502,21.062367
181422647,52.294289,20.882173
181423211,52.311987,21.069662
181425226,52.236742,21.105416
181426783,52.217449,21.0332
181431890,52.240004,20.946009
181433933,52.301489,21.021098
181435180,52.232587,20.90586
181436317,52.258924,21.056571
181438302,52.251391,20.938351
181446812,52.266098,20.979387
181452781,52.202227,21.045138
181455514,52.244542,20.999927
181457023,52.185467,20.989702
181463880,52.180276,20.990698
181473317,52.29472,20.803904
181474095,52.271031,21.057702
181474486,52.298364,21.024342
181479376,52.310636,21.07802
181482772,52.254533,21.043284
181482916,52.238044,21.03358
181483406,52.234244,21.023082
181483808,52.236436,21.022144
181484151,52.227956,21.023567
181486384,52.160027,21.029387
181486699,52.111613,21.116089
181487725,52.281867,21.013171
181489378,52.207111,20.972584
181490149,52.24328,20.990996
181490502,52.189249,21.002596
181490990,52.315738,21.062436
181496153,52.222231,20.983776
181496930,52.29436,21.081798
181498776,52.236378,21.040507
181500041,52.241391,21.135493
181500392,52.234058,21.107349
181500664,52.162124,21.07218
181500912,52.23968,20.998064
181501706,52.230778,20.977604
181502379,52.192987,21.057071
181504056,52.281618,21.013293
181504759,52.152364,21.01812
181505838,52.249502,20.924036
181506031,52.228796,20.98164
181507721,52.281591,20.939227
181508205,52.235262,21.0309
181508508,52.177311,20.990796
181508582,52.302938,21.058964
181509039,52.228631,21.051053
181509453,52.247267,21.090124
181509813,52.143547,21.018404
